Cause-Effect	Cause	Effect	Test	Lag	Weight1	AbsWeight1	Coef1	Weight2	AbsWeight2	Coef2
ENSG00000278637.1-ENSG00000096060.13	ENSG00000278637.1	ENSG00000096060.13	ridge	2.0				0.0559142327541	0.0559142327541	2.0
ENSG00000278637.1-ENSG00000166592.10	ENSG00000278637.1	ENSG00000166592.10	ridge	2.0				0.054068316182	0.054068316182	2.0
ENSG00000278637.1-ENSG00000158445.7	ENSG00000278637.1	ENSG00000158445.7	ridge	2.0				0.0533806469952	0.0533806469952	2.0
ENSG00000278637.1-ENSG00000152779.13	ENSG00000278637.1	ENSG00000152779.13	ridge	2.0				0.0526423204904	0.0526423204904	2.0
ENSG00000278637.1-ENSG00000187288.9	ENSG00000278637.1	ENSG00000187288.9	ridge	2.0				0.0519956809711	0.0519956809711	2.0
ENSG00000278637.1-ENSG00000166589.11	ENSG00000278637.1	ENSG00000166589.11	ridge	2.0				0.0516250465931	0.0516250465931	2.0
ENSG00000278637.1-ENSG00000141750.6	ENSG00000278637.1	ENSG00000141750.6	ridge	2.0				0.0515489919038	0.0515489919038	2.0
ENSG00000278637.1-ENSG00000115112.7	ENSG00000278637.1	ENSG00000115112.7	ridge	2.0				0.0514134517034	0.0514134517034	2.0
ENSG00000183598.3-ENSG00000166592.10	ENSG00000183598.3	ENSG00000166592.10	ridge	2.0				-0.0505492960655	0.0505492960655	2.0
ENSG00000278637.1-ENSG00000183671.11	ENSG00000278637.1	ENSG00000183671.11	ridge	2.0				0.0500887037819	0.0500887037819	2.0
ENSG00000178150.7-ENSG00000166589.11	ENSG00000178150.7	ENSG00000166589.11	ridge	2.0				-0.0487008379026	0.0487008379026	2.0
ENSG00000278637.1-ENSG00000205420.9	ENSG00000278637.1	ENSG00000205420.9	ridge	2.0				0.0485048383842	0.0485048383842	2.0
ENSG00000183598.3-ENSG00000152779.13	ENSG00000183598.3	ENSG00000152779.13	ridge	2.0				-0.0477277683566	0.0477277683566	2.0
ENSG00000178150.7-ENSG00000129757.11	ENSG00000178150.7	ENSG00000129757.11	ridge	2.0				-0.0469746231346	0.0469746231346	2.0
ENSG00000178150.7-ENSG00000163283.6	ENSG00000178150.7	ENSG00000163283.6	ridge	2.0				-0.0466958522498	0.0466958522498	2.0
ENSG00000278637.1-ENSG00000179046.7	ENSG00000278637.1	ENSG00000179046.7	ridge	2.0				-0.0466666844806	0.0466666844806	2.0
ENSG00000183598.3-ENSG00000039987.5	ENSG00000183598.3	ENSG00000039987.5	ridge	2.0				-0.045420811477	0.045420811477	2.0
ENSG00000278637.1-ENSG00000185432.11	ENSG00000278637.1	ENSG00000185432.11	ridge	2.0				0.0452788294222	0.0452788294222	2.0
ENSG00000183598.3-ENSG00000158445.7	ENSG00000183598.3	ENSG00000158445.7	ridge	2.0				-0.0445005108166	0.0445005108166	2.0
ENSG00000183598.3-ENSG00000165272.13	ENSG00000183598.3	ENSG00000165272.13	ridge	2.0				-0.044364268183	0.044364268183	2.0
ENSG00000278637.1-ENSG00000151726.12	ENSG00000278637.1	ENSG00000151726.12	ridge	2.0				0.0440312774698	0.0440312774698	2.0
ENSG00000278637.1-ENSG00000143845.13	ENSG00000278637.1	ENSG00000143845.13	ridge	2.0				0.0437504437857	0.0437504437857	2.0
ENSG00000184270.4-ENSG00000158445.7	ENSG00000184270.4	ENSG00000158445.7	ridge	2.0				0.0434638768311	0.0434638768311	2.0
ENSG00000184270.4-ENSG00000138615.5	ENSG00000184270.4	ENSG00000138615.5	ridge	2.0				0.0433067395842	0.0433067395842	2.0
ENSG00000183598.3-ENSG00000141750.6	ENSG00000183598.3	ENSG00000141750.6	ridge	2.0				-0.0432768685134	0.0432768685134	2.0
ENSG00000184270.4-ENSG00000135094.9	ENSG00000184270.4	ENSG00000135094.9	ridge	2.0				0.0431032257735	0.0431032257735	2.0
